     109     142      69       4
       2      14      92       4
       1       5      93       3
       3      23      90       2
       4      32      91       1
       2      92      13       4
       1      93      40       3
       3      90      22       2
       4      91      31       1
      69     142      65       3
      66     130      86       1
      67     132      87       2
      68     131      88       3
      69     133      89       4
      63     108     106       1
      63     106      66       1
      64     107     109       4
      64      67     107       2
     130      46      86       1
     131      47      88       3
     132      48      87       2
     133      49      89       4
      55      83     103       1
      54      82     102       2
      60      85     105       3
      58      84     104       4
      43     103      83       1
      42     102      82       2
      45     105      85       3
      44     104      84       4
      57      98      87       2
      56      99      86       1
      61     100      89       4
      59     101      88       3
      65     142      68       3
      27      28      70       1
      36      37      71       3
      18      19      72       2
       9      10      73       4
      19     118      72       2
      10     119      73       4
      28     120      70       1
      37     121      71       3
      64     132      67       2
      65     133      69       3
      42      87      98       2
      43      86      99       1
      44      89     100       4
      45      88     101       3
      63      66     111       1
      65      68     113       3
      68     142     108       3
      41     106     108       1
      41     109     107       4
      57      72     118       2
      61      73     119       4
      56      70     120       1
      59      71     121       3
      24      25      74       2
      33      34      75       1
      15      16      76       4
       6       7      77       3
      20      21      78       2
      11      12      80       4
      29      30      79       1
      38      39      81       3
      27      70      94       2
      36      71      95       1
      18      72      96       4
       9      73      97       3
      57      78      98       2
      56      79      99       1
      61      80     100       4
      59      81     101       3
      46     134      70       2
      47     135      71       1
      48     136      72       4
      49     137      73       3
      62     110      82       2
      63     111      83       1
      64     112      84       4
      65     113      85       3
      50      74     102       2
      51      75     103       1
      52      76     104       4
      53      77     105       3
      42      82     110       2
      43      83     111       1
      44      84     112       4
      45      85     113       3
      62     107     110       2
      67     110     107       2
      64     109     112       4
      69     112     109       4
      26      27      94       2
      35      36      95       1
      17      18      96       4
       8       9      97       3
      46     138      86       1
      48     140      87       2
      47     139      88       3
      49     141      89       4
      24      74     122       2
      33      75     123       1
      15      76     124       4
       6      77     125       3
      21     126      78       2
      12     127      80       4
      30     128      79       1
      39     129      81       3
      55     103      75       1
      54     102      74       2
      60     105      77       3
      58     104      76       4
      50      98      78       2
      51      99      79       1
      52     100      80       4
      53     101      81       3
      14      15     124       4
      23      24     122       2
       5       6     125       3
      32      33     123       1
      21      22     126       2
      12      13     127       4
      30      31     128       1
      39      40     129       3
      70     134      94       2
      71     135      95       1
      72     136      96       4
      73     137      97       3
      14     124      92       4
       5     125      93       3
      23     122      90       2
      32     123      91       1
      22      90     126       2
      13      92     127       4
      31      91     128       1
      40      93     129       3
      50     102      98       2
      51     103      99       1
      52     104     100       4
      53     105     101       3
      62      82     130       2
      63      83     131       1
      64      84     132       4
      65      85     133       3
      46      70     138       1
      47      71     139       3
      56     138      70       1
      59     139      71       3
      48      72     140       2
      49      73     141       4
      57     140      72       2
      61     141      73       4
      25     114      74       2
      34     115      75       1
      56     120      79       1
      54      74     114       2
      55      75     115       1
      57     118      78       2
      59     121      81       3
      61     119      80       4
      29      79     120       1
      20      78     118       2
      38      81     121       3
      11      80     119       4
      16     116      76       4
       7     117      77       3
      58      76     116       4
      60      77     117       3
      46     130      82       2
      47     131      83       1
      48     132      84       4
      49     133      85       3
      62     130     106       2
      66     106     130       1
      63     131     108       1
      68     108     131       3
      50     122      74       2
      51     123      75       1
      50      78     126       2
      52     124      76       4
      51      79     128       1
      53     125      77       3
      52      80     127       4
      53      81     129       3
      54     134      82       2
      46      82     134       2
      55     135      83       1
      47      83     135       1
      48      84     136       4
      58     136      84       4
      60     137      85       3
      49      85     137       3
      66      86     111       1
      43     111      86       1
      67      87     110       2
      42     110      87       2
      68      88     113       3
      69      89     112       4
      45     113      88       3
      44     112      89       4
      42      98     102       2
      43      99     103       1
      44     100     104       4
      45     101     105       3
      50      90     122       2
      51      91     123       1
      50     126      90       2
      51     128      91       1
      52      92     124       4
      52     127      92       4
      53      93     125       3
      53     129      93       3
      41     107     106       2
      62     106     107       2
      26      94     114       2
      35      95     115       1
      54     114      94       2
      55     115      95       1
      17      96     116       4
       8      97     117       3
      58     116      96       4
      60     117      97       3
      25      26     114       2
      34      35     115       1
      16      17     116       4
       7       8     117       3
      19      20     118       2
      10      11     119       4
      28      29     120       1
      37      38     121       3
      56      86     138       1
      57      87     140       2
      59      88     139       3
      61      89     141       4
      54      94     134       2
      55      95     135       1
      58      96     136       4
      60      97     137       3
      41     142     109       4
      41     108     142       4
